750843,709587
662045,662053
251357,251359
315774,315778
631020,631027
187739,187747
806719,806575
85350,85341
222823,222832
490685,486517
850546,46160
511188,511194
292323,292331
463311,463321
131132,131140
126061,126068
483311,483316
397873,397882
175668,175675
791519,791526
226082,226088
497926,497931
703593,703495
359125,359126
89229,89237
938103,810164
913133,137636
280098,280101
354238,206858
345730,345732
250403,228498
488389,488388
247410,247420
780128,780121
421839,421847
427984,427993
704794,96533
448245,448249
113247,113043
87104,87089
807793,807796
629237,629244
5744,5753
264998,210051
72847,72854
425776,425781
206716,206723
267368,267368
144065,144075
555008,555014
669215,669218
667783,603859
492519,492524
234066,222767
165961,141238
119603,119607
658977,658983
498190,504551
626990,604661
297087,297086
109153,109162
249311,249316
283204,283211
691383,691383
363495,363495
360092,360095
608567,547798
354800,354807
109390,109399
867586,867591
274019,274020
943885,943884
603466,603471
431661,431666
41458,41468
281614,281618
86865,86866
296035,216983
384137,384143
944714,944705
475854,475855
84347,528474
75927,75936
920972,736464
656280,656272
601315,601324
211574,211573
722764,722741
873599,873604
530827,530118
33074,33061
370757,370756
930454,91907
586314,586313
397405,394666
880475,812099
166120,166126
669614,669613
133738,133745
931458,563463
